processes,vertices,delta,enable_ios,enable_push_pull_pruning,enable_hybridization,hybridization_tau,enable_load_balancing,elapsed_time
72,1024,25,1,0,0,0.4,0,0.0452261
72,262144,25,1,0,0,0.4,0,0.135888
48,2048,25,1,0,0,0.4,0,0.0330689
24,1024,25,1,0,0,0.4,0,0.0211945
48,4096,25,1,0,0,0.4,0,0.0358002
72,2048,25,1,0,0,0.4,0,0.043607
48,131072,25,1,0,0,0.4,0,0.20558
72,4096,25,1,0,0,0.4,0,0.0527065
24,2097152,25,1,0,0,0.4,0,5.15526
24,32768,25,1,0,0,0.4,0,0.0434141
24,262144,25,1,0,0,0.4,0,0.455649
96,8192,25,1,0,0,0.4,0,0.0468109
24,16384,25,1,0,0,0.4,0,0.0553699
72,16384,25,1,0,0,0.4,0,0.0506439
96,32768,25,1,0,0,0.4,0,0.0862074
48,2097152,25,1,0,0,0.4,0,1.70156
48,65536,25,1,0,0,0.4,0,0.0642066
48,4096,25,1,0,0,0.4,0,0.0466321
48,1024,25,1,0,0,0.4,0,0.0329554
96,4194304,25,1,0,0,0.4,0,2.42799
24,262144,25,1,0,0,0.4,0,0.195678
96,4096,25,1,0,0,0.4,0,0.0359199
96,65536,25,1,0,0,0.4,0,0.0616176
48,2048,25,1,0,0,0.4,0,0.0315831
96,1024,25,1,0,0,0.4,0,0.031522
72,4194304,25,1,0,0,0.4,0,8.03744
72,65536,25,1,0,0,0.4,0,0.122594
48,262144,25,1,0,0,0.4,0,0.42217
96,2048,25,1,0,0,0.4,0,0.0350585
48,65536,25,1,0,0,0.4,0,0.117165
72,2097152,25,1,0,0,0.4,0,3.47616
24,524288,25,1,0,0,0.4,0,0.402524
72,2048,25,1,0,0,0.4,0,0.045222
72,524288,25,1,0,0,0.4,0,0.687047
24,8192,25,1,0,0,0.4,0,0.0347738
72,4096,25,1,0,0,0.4,0,0.0443757
96,2048,25,1,0,0,0.4,0,0.0349712
72,1048576,25,1,0,0,0.4,0,1.4953
72,8192,25,1,0,0,0.4,0,0.0575752
48,16384,25,1,0,0,0.4,0,0.042954
96,16384,25,1,0,0,0.4,0,0.0414538
72,8192,25,1,0,0,0.4,0,0.0501139
48,4194304,25,1,0,0,0.4,0,9.33613
96,524288,25,1,0,0,0.4,0,0.654243
96,131072,25,1,0,0,0.4,0,0.0858533
48,2097152,25,1,0,0,0.4,0,4.192
96,1024,25,1,0,0,0.4,0,0.0277951
72,32768,25,1,0,0,0.4,0,0.0602405
24,1048576,25,1,0,0,0.4,0,2.15395
24,1048576,25,1,0,0,0.4,0,1.02193
48,32768,25,1,0,0,0.4,0,0.0821316
48,524288,25,1,0,0,0.4,0,0.332474
48,1048576,25,1,0,0,0.4,0,0.737973
96,1048576,25,1,0,0,0.4,0,1.43237
48,524288,25,1,0,0,0.4,0,0.83885
48,1048576,25,1,0,0,0.4,0,1.77786
72,1048576,25,1,0,0,0.4,0,0.555547
72,262144,25,1,0,0,0.4,0,0.336542
96,16384,25,1,0,0,0.4,0,0.062649
72,65536,25,1,0,0,0.4,0,0.0584035
24,131072,25,1,0,0,0.4,0,0.232409
96,65536,25,1,0,0,0.4,0,0.113577
24,131072,25,1,0,0,0.4,0,0.101911
96,2097152,25,1,0,0,0.4,0,1.12341
48,16384,25,1,0,0,0.4,0,0.0604644
24,2048,25,1,0,0,0.4,0,0.0283349
96,524288,25,1,0,0,0.4,0,0.22646
24,16384,25,1,0,0,0.4,0,0.0357454
96,4096,25,1,0,0,0.4,0,0.0442331
72,131072,25,1,0,0,0.4,0,0.0856152
72,2097152,25,1,0,0,0.4,0,1.2544
96,8192,25,1,0,0,0.4,0,0.0372334
72,1024,25,1,0,0,0.4,0,0.0397458
24,524288,25,1,0,0,0.4,0,0.975847
48,8192,25,1,0,0,0.4,0,0.0308645
48,32768,25,1,0,0,0.4,0,0.0517485
48,1024,25,1,0,0,0.4,0,0.0286875
72,4194304,25,1,0,0,0.4,0,2.91702
96,262144,25,1,0,0,0.4,0,0.1331
48,262144,25,1,0,0,0.4,0,0.148505
72,524288,25,1,0,0,0.4,0,0.252083
48,131072,25,1,0,0,0.4,0,0.0869675
72,131072,25,1,0,0,0.4,0,0.218714
72,32768,25,1,0,0,0.4,0,0.0852675
96,131072,25,1,0,0,0.4,0,0.182702
48,8192,25,1,0,0,0.4,0,0.0474086
24,4194304,25,1,0,0,0.4,0,10.8616
24,65536,25,1,0,0,0.4,0,0.135633
24,2048,25,1,0,0,0.4,0,0.0206919
24,32768,25,1,0,0,0.4,0,0.0832458
96,32768,25,1,0,0,0.4,0,0.0487463
96,2097152,25,1,0,0,0.4,0,3.3257
72,16384,25,1,0,0,0.4,0,0.0632129
24,4096,25,0,1,0,0.4,0,0.0444303
96,4194304,25,0,1,0,0.4,0,3.16946
24,4194304,25,0,1,0,0.4,0,3.13929
24,65536,25,0,1,0,0.4,0,0.0591087
48,4194304,25,0,1,0,0.4,0,2.08485
24,8192,25,0,1,0,0.4,0,0.0247054
24,2097152,25,0,1,0,0.4,0,1.42427
96,262144,25,0,1,0,0.4,0,0.255173
96,1048576,25,0,1,0,0.4,0,0.369275
24,1024,25,0,1,0,0.4,0,0.0272367
24,4096,25,0,1,0,0.4,0,0.0249732
72,1024,25,0,1,0,0.4,0,0.0296421
72,262144,25,0,1,0,0.4,0,0.104067
48,2048,25,0,1,0,0.4,0,0.0324171
24,1024,25,0,1,0,0.4,0,0.0211084
48,4096,25,0,1,0,0.4,0,0.0359561
72,2048,25,0,1,0,0.4,0,0.0361133
48,131072,25,0,1,0,0.4,0,0.199318
72,4096,25,0,1,0,0.4,0,0.0525115
24,2097152,25,0,1,0,0.4,0,2.64084
24,32768,25,0,1,0,0.4,0,0.0385189
24,262144,25,0,1,0,0.4,0,0.330402
96,8192,25,0,1,0,0.4,0,0.0543492
24,16384,25,0,1,0,0.4,0,0.0495262
72,16384,25,0,1,0,0.4,0,0.0490739
96,32768,25,0,1,0,0.4,0,0.101685
48,2097152,25,0,1,0,0.4,0,0.982833
48,65536,25,0,1,0,0.4,0,0.0536149
48,4096,25,0,1,0,0.4,0,0.0479538
48,1024,25,0,1,0,0.4,0,0.0346231
96,4194304,25,0,1,0,0.4,0,1.44458
24,262144,25,0,1,0,0.4,0,0.156347
96,4096,25,0,1,0,0.4,0,0.0378473
96,65536,25,0,1,0,0.4,0,0.0641863
48,2048,25,0,1,0,0.4,0,0.0443065
96,1024,25,0,1,0,0.4,0,0.0303662
72,4194304,25,0,1,0,0.4,0,3.29888
72,65536,25,0,1,0,0.4,0,0.111176
48,262144,25,0,1,0,0.4,0,0.299981
96,2048,25,0,1,0,0.4,0,0.034198
48,65536,25,0,1,0,0.4,0,0.114751
72,2097152,25,0,1,0,0.4,0,1.69644
24,524288,25,0,1,0,0.4,0,0.272627
72,2048,25,0,1,0,0.4,0,0.0384142
72,524288,25,0,1,0,0.4,0,0.43482
24,8192,25,0,1,0,0.4,0,0.0447841
72,4096,25,0,1,0,0.4,0,0.0378678
96,2048,25,0,1,0,0.4,0,0.0406413
72,1048576,25,0,1,0,0.4,0,0.82877
72,8192,25,0,1,0,0.4,0,0.0620363
48,16384,25,0,1,0,0.4,0,0.0471847
96,16384,25,0,1,0,0.4,0,0.0419266
72,8192,25,0,1,0,0.4,0,0.0399983
48,4194304,25,0,1,0,0.4,0,4.13728
96,524288,25,0,1,0,0.4,0,0.43189
96,131072,25,0,1,0,0.4,0,0.0818841
48,2097152,25,0,1,0,0.4,0,2.04441
96,1024,25,0,1,0,0.4,0,0.0270846
72,32768,25,0,1,0,0.4,0,0.059062
24,1048576,25,0,1,0,0.4,0,1.26575
24,1048576,25,0,1,0,0.4,0,0.66323
48,32768,25,0,1,0,0.4,0,0.0810184
48,524288,25,0,1,0,0.4,0,0.219646
48,1048576,25,0,1,0,0.4,0,0.454549
96,1048576,25,0,1,0,0.4,0,0.805109
48,524288,25,0,1,0,0.4,0,0.504135
48,1048576,25,0,1,0,0.4,0,0.965335
72,1048576,25,0,1,0,0.4,0,0.372167
72,262144,25,0,1,0,0.4,0,0.260577
96,16384,25,0,1,0,0.4,0,0.0613129
72,65536,25,0,1,0,0.4,0,0.0712554
24,131072,25,0,1,0,0.4,0,0.186379
96,65536,25,0,1,0,0.4,0,0.108287
